Date Accessed,User Agent - Simple,User Agent - Full,IP Address,Number of Logins,Last Date Accessed
Mon May 20 2019 16:36:15 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",166.216.158.144,6,Mon May 20 2019 18:03:19 GMT-0500 (CDT)
Mon May 20 2019 12:49:11 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",107.77.211.235,10,Mon May 20 2019 15:59:58 GMT-0500 (CDT)
Mon May 20 2019 07:38:26 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",107.77.206.94,3,Mon May 20 2019 08:38:40 GMT-0500 (CDT)
Sun May 19 2019 22:48:37 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",207.237.214.54,3,Mon May 20 2019 00:52:51 GMT-0500 (CDT)
Sun May 19 2019 22:26:51 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",107.77.206.94,1,Sun May 19 2019 22:26:51 GMT-0500 (CDT)
Sun May 19 2019 19:27:55 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",73.8.144.78,5,Sun May 19 2019 22:09:42 GMT-0500 (CDT)
Sun May 19 2019 18:15:55 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",107.77.206.94,2,Sun May 19 2019 18:16:01 GMT-0500 (CDT)
Sun May 19 2019 15:54:43 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",207.237.214.54,3,Sun May 19 2019 18:02:20 GMT-0500 (CDT)
Sun May 19 2019 14:41:59 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",24.1.190.27,2,Sun May 19 2019 14:48:51 GMT-0500 (CDT)
Sun May 19 2019 12:43:11 GMT-0500 (CDT),iOS App (iPad),"com.tinyspeck.chatlyio/19.5.1 (iPad; iOS 12.2; Scale/2.00)",207.237.214.54,17,Sun May 19 2019 23:09:43 GMT-0500 (CDT)
Sun May 19 2019 11:09:09 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",107.77.206.94,7,Sun May 19 2019 15:27:26 GMT-0500 (CDT)
Sun May 19 2019 09:09:02 GMT-0500 (CDT),iOS App (iPad),"com.tinyspeck.chatlyio/19.5.1 (iPad; iOS 12.2; Scale/2.00)",207.237.214.54,8,Sun May 19 2019 10:37:43 GMT-0500 (CDT)
Sun May 19 2019 07:53:08 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",207.237.214.54,5,Sun May 19 2019 12:30:57 GMT-0500 (CDT)
Sat May 18 2019 21:05:25 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",207.237.214.54,4,Sun May 19 2019 00:59:21 GMT-0500 (CDT)
Sat May 18 2019 18:57:22 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",107.77.206.94,5,Sat May 18 2019 20:33:30 GMT-0500 (CDT)
Sat May 18 2019 16:27:34 GMT-0500 (CDT),iOS App (iPad),"com.tinyspeck.chatlyio/19.5.1 (iPad; iOS 12.2; Scale/2.00)",207.237.214.54,19,Sun May 19 2019 00:00:52 GMT-0500 (CDT)
Sat May 18 2019 16:01:41 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",207.237.214.54,6,Sat May 18 2019 18:08:53 GMT-0500 (CDT)
Sat May 18 2019 14:15:19 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",107.77.206.94,7,Sat May 18 2019 15:46:14 GMT-0500 (CDT)
Sat May 18 2019 12:36:17 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.4.0 Chrome/66.0.3359.181 Electron/3.1.7 Safari/537.36 Slack_SSB/3.4.0",71.195.19.50,1,Sat May 18 2019 12:36:17 GMT-0500 (CDT)
Sat May 18 2019 11:47:27 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",207.87.181.170,1,Sat May 18 2019 11:47:27 GMT-0500 (CDT)
Sat May 18 2019 11:47:24 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",72.21.225.66,2,Sat May 18 2019 12:18:58 GMT-0500 (CDT)
Sat May 18 2019 11:10:54 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",107.77.210.197,3,Sat May 18 2019 12:28:03 GMT-0500 (CDT)
Sat May 18 2019 09:07:43 GMT-0500 (CDT),iOS App (iPad),"com.tinyspeck.chatlyio/19.5.1 (iPad; iOS 12.2; Scale/2.00)",71.195.19.50,2,Sat May 18 2019 10:43:38 GMT-0500 (CDT)
Sat May 18 2019 08:59:24 GMT-0500 (CDT),Unknown Client,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Mobile/15E148 Safari/604.1",71.195.19.50,2,Sat May 18 2019 08:59:24 GMT-0500 (CDT)
Sat May 18 2019 07:38:55 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",71.195.19.50,5,Sat May 18 2019 09:49:16 GMT-0500 (CDT)
Sat May 18 2019 07:21:32 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.4.0 Chrome/66.0.3359.181 Electron/3.1.7 Safari/537.36 Slack_SSB/3.4.0",71.195.19.50,3,Sat May 18 2019 10:22:52 GMT-0500 (CDT)
Sat May 18 2019 02:21:45 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.4.0 Chrome/66.0.3359.181 Electron/3.1.7 Safari/537.36 Slack_SSB/3.4.0",71.195.19.50,1,Sat May 18 2019 02:21:45 GMT-0500 (CDT)
Fri May 17 2019 22:26:28 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",71.195.19.50,4,Sat May 18 2019 00:37:29 GMT-0500 (CDT)
Fri May 17 2019 19:30:40 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",107.77.210.197,4,Fri May 17 2019 21:55:43 GMT-0500 (CDT)
Fri May 17 2019 15:35:11 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",71.195.19.50,13,Fri May 17 2019 18:52:04 GMT-0500 (CDT)
Fri May 17 2019 14:10:44 GMT-0500 (CDT),iOS App (iPad),"com.tinyspeck.chatlyio/19.5.1 (iPad; iOS 12.2; Scale/2.00)",71.195.19.50,12,Sat May 18 2019 00:00:51 GMT-0500 (CDT)
Fri May 17 2019 09:19:46 GMT-0500 (CDT),iOS App (iPad),"com.tinyspeck.chatlyio/19.5.1 (iPad; iOS 12.2; Scale/2.00)",71.195.19.50,2,Fri May 17 2019 10:43:49 GMT-0500 (CDT)
Fri May 17 2019 08:09:14 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",71.195.19.50,2,Fri May 17 2019 08:09:16 GMT-0500 (CDT)
Fri May 17 2019 07:38:41 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",107.77.210.197,10,Fri May 17 2019 15:32:39 GMT-0500 (CDT)
Fri May 17 2019 06:30:48 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.4.0 Chrome/66.0.3359.181 Electron/3.1.7 Safari/537.36 Slack_SSB/3.4.0",71.195.19.50,12,Fri May 17 2019 20:33:08 GMT-0500 (CDT)
Fri May 17 2019 04:27:52 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.4.0 Chrome/66.0.3359.181 Electron/3.1.7 Safari/537.36 Slack_SSB/3.4.0",71.195.19.50,1,Fri May 17 2019 04:27:52 GMT-0500 (CDT)
Thu May 16 2019 18:54:39 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",107.77.210.197,11,Fri May 17 2019 00:56:23 GMT-0500 (CDT)
Thu May 16 2019 16:48:21 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",107.77.210.42,2,Thu May 16 2019 17:55:18 GMT-0500 (CDT)
Thu May 16 2019 16:27:21 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.4.0 Chrome/66.0.3359.181 Electron/3.1.7 Safari/537.36 Slack_SSB/3.4.0",71.195.19.50,17,Fri May 17 2019 02:21:47 GMT-0500 (CDT)
Thu May 16 2019 15:37:07 GMT-0500 (CDT),Unknown Client,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Mobile/15E148 Safari/604.1",71.195.19.50,3,Thu May 16 2019 15:37:07 GMT-0500 (CDT)
Thu May 16 2019 14:16:54 GMT-0500 (CDT),iOS App (iPad),"com.tinyspeck.chatlyio/19.5.1 (iPad; iOS 12.2; Scale/2.00)",71.195.19.50,12,Fri May 17 2019 00:01:59 GMT-0500 (CDT)
Thu May 16 2019 13:43:51 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.4.0 Chrome/66.0.3359.181 Electron/3.1.7 Safari/537.36 Slack_SSB/3.4.0",71.195.19.50,1,Thu May 16 2019 13:43:51 GMT-0500 (CDT)
Thu May 16 2019 09:10:15 GMT-0500 (CDT),iOS App (iPad),"com.tinyspeck.chatlyio/19.5.1 (iPad; iOS 12.2; Scale/2.00)",71.195.19.50,2,Thu May 16 2019 10:37:35 GMT-0500 (CDT)
Thu May 16 2019 08:55:40 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.4.0 Chrome/66.0.3359.181 Electron/3.1.7 Safari/537.36 Slack_SSB/3.4.0",71.195.19.50,5,Thu May 16 2019 11:01:33 GMT-0500 (CDT)
Thu May 16 2019 07:41:25 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",71.195.19.50,17,Thu May 16 2019 18:31:38 GMT-0500 (CDT)
Wed May 15 2019 22:45:16 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.4.0 Chrome/66.0.3359.181 Electron/3.1.7 Safari/537.36 Slack_SSB/3.4.0",71.195.19.50,1,Wed May 15 2019 22:45:16 GMT-0500 (CDT)
Wed May 15 2019 18:08:09 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",107.77.210.42,3,Wed May 15 2019 19:18:39 GMT-0500 (CDT)
Wed May 15 2019 15:11:15 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.4.0 Chrome/66.0.3359.181 Electron/3.1.7 Safari/537.36 Slack_SSB/3.4.0",71.195.19.50,5,Wed May 15 2019 19:30:21 GMT-0500 (CDT)
Wed May 15 2019 14:18:06 GMT-0500 (CDT),iOS App (iPad),"com.tinyspeck.chatlyio/19.5.1 (iPad; iOS 12.2; Scale/2.00)",71.195.19.50,10,Wed May 15 2019 23:09:55 GMT-0500 (CDT)
Wed May 15 2019 14:00:50 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",107.77.210.42,2,Wed May 15 2019 14:42:52 GMT-0500 (CDT)
Wed May 15 2019 09:16:14 GMT-0500 (CDT),iOS App (iPad),"com.tinyspeck.chatlyio/19.5.1 (iPad; iOS 12.2; Scale/2.00)",71.195.19.50,2,Wed May 15 2019 10:46:41 GMT-0500 (CDT)
Wed May 15 2019 08:48:31 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.4.0 Chrome/66.0.3359.181 Electron/3.1.7 Safari/537.36 Slack_SSB/3.4.0",71.195.19.50,8,Wed May 15 2019 12:53:01 GMT-0500 (CDT)
Wed May 15 2019 07:47:27 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",71.195.19.50,25,Thu May 16 2019 01:24:46 GMT-0500 (CDT)
Wed May 15 2019 07:15:45 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.4.0 Chrome/66.0.3359.181 Electron/3.1.7 Safari/537.36 Slack_SSB/3.4.0",73.94.207.218,1,Wed May 15 2019 07:15:45 GMT-0500 (CDT)
Wed May 15 2019 03:58:58 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.4.0 Chrome/66.0.3359.181 Electron/3.1.7 Safari/537.36 Slack_SSB/3.4.0",73.94.207.218,4,Wed May 15 2019 04:00:22 GMT-0500 (CDT)
Wed May 15 2019 00:28:40 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.4.0 Chrome/66.0.3359.181 Electron/3.1.7 Safari/537.36 Slack_SSB/3.4.0",73.94.207.218,3,Wed May 15 2019 00:28:41 GMT-0500 (CDT)
Tue May 14 2019 18:56:02 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.4.0 Chrome/66.0.3359.181 Electron/3.1.7 Safari/537.36 Slack_SSB/3.4.0",71.195.19.50,2,Tue May 14 2019 20:09:39 GMT-0500 (CDT)
Tue May 14 2019 17:59:09 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",73.242.33.89,1,Tue May 14 2019 17:59:09 GMT-0500 (CDT)
Tue May 14 2019 16:17:12 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",107.77.210.42,2,Tue May 14 2019 17:43:55 GMT-0500 (CDT)
Tue May 14 2019 14:11:38 GMT-0500 (CDT),iOS App (iPad),"com.tinyspeck.chatlyio/19.5.1 (iPad; iOS 12.2; Scale/2.00)",71.195.19.50,13,Tue May 14 2019 22:58:01 GMT-0500 (CDT)
Tue May 14 2019 10:38:49 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.4.0 Chrome/66.0.3359.181 Electron/3.1.7 Safari/537.36 Slack_SSB/3.4.0",71.195.19.50,9,Tue May 14 2019 16:55:34 GMT-0500 (CDT)
Tue May 14 2019 09:07:39 GMT-0500 (CDT),iOS App (iPad),"com.tinyspeck.chatlyio/19.5.1 (iPad; iOS 12.2; Scale/2.00)",71.195.19.50,2,Tue May 14 2019 10:40:56 GMT-0500 (CDT)
Tue May 14 2019 08:34:02 GMT-0500 (CDT),Unknown Client,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Mobile/15E148 Safari/604.1",71.195.19.50,5,Tue May 14 2019 08:34:18 GMT-0500 (CDT)
Tue May 14 2019 07:37:51 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",71.195.19.50,20,Wed May 15 2019 01:27:37 GMT-0500 (CDT)
Tue May 14 2019 07:13:15 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.4.0 Chrome/66.0.3359.181 Electron/3.1.7 Safari/537.36 Slack_SSB/3.4.0",71.195.19.50,2,Tue May 14 2019 08:34:06 GMT-0500 (CDT)
Tue May 14 2019 00:46:47 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.4.0 Chrome/66.0.3359.181 Electron/3.1.7 Safari/537.36 Slack_SSB/3.4.0",71.195.19.50,2,Tue May 14 2019 02:13:24 GMT-0500 (CDT)
Mon May 13 2019 21:52:44 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",71.195.19.50,6,Tue May 14 2019 01:22:56 GMT-0500 (CDT)
Mon May 13 2019 21:46:40 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.4.0 Chrome/66.0.3359.181 Electron/3.1.7 Safari/537.36 Slack_SSB/3.4.0",71.195.19.50,6,Mon May 13 2019 21:46:45 GMT-0500 (CDT)
Mon May 13 2019 18:06:44 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.4.0 Chrome/66.0.3359.181 Electron/3.1.7 Safari/537.36 Slack_SSB/3.4.0",71.195.19.50,1,Mon May 13 2019 18:06:44 GMT-0500 (CDT)
Mon May 13 2019 17:10:44 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",24.118.21.68,5,Mon May 13 2019 18:10:52 GMT-0500 (CDT)
Mon May 13 2019 16:39:33 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",107.77.210.42,6,Mon May 13 2019 21:18:32 GMT-0500 (CDT)
Mon May 13 2019 16:31:46 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",71.195.19.50,1,Mon May 13 2019 16:31:46 GMT-0500 (CDT)
Mon May 13 2019 14:41:20 GMT-0500 (CDT),Slack Web App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Safari/605.1.15",24.118.21.68,3,Mon May 13 2019 14:41:26 GMT-0500 (CDT)
Mon May 13 2019 14:11:12 GMT-0500 (CDT),iOS App (iPad),"com.tinyspeck.chatlyio/19.5.1 (iPad; iOS 12.2; Scale/2.00)",71.195.19.50,12,Mon May 13 2019 23:16:59 GMT-0500 (CDT)
Mon May 13 2019 11:52:32 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",24.118.21.68,5,Mon May 13 2019 15:09:47 GMT-0500 (CDT)
Mon May 13 2019 11:45:54 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.4.0 Chrome/66.0.3359.181 Electron/3.1.7 Safari/537.36 Slack_SSB/3.4.0",24.118.21.68,9,Mon May 13 2019 15:21:35 GMT-0500 (CDT)
Mon May 13 2019 11:39:20 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",107.77.210.42,1,Mon May 13 2019 11:39:20 GMT-0500 (CDT)
Mon May 13 2019 10:01:58 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.4.0 Chrome/66.0.3359.181 Electron/3.1.7 Safari/537.36 Slack_SSB/3.4.0",71.195.19.50,2,Mon May 13 2019 11:02:35 GMT-0500 (CDT)
Mon May 13 2019 09:09:48 GMT-0500 (CDT),iOS App (iPad),"com.tinyspeck.chatlyio/19.5.1 (iPad; iOS 12.2; Scale/2.00)",71.195.19.50,2,Mon May 13 2019 10:41:43 GMT-0500 (CDT)
Mon May 13 2019 07:41:27 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",71.195.19.50,8,Mon May 13 2019 11:16:27 GMT-0500 (CDT)
Mon May 13 2019 07:01:57 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.4.0 Chrome/66.0.3359.181 Electron/3.1.7 Safari/537.36 Slack_SSB/3.4.0",71.195.19.50,2,Mon May 13 2019 08:01:58 GMT-0500 (CDT)
Mon May 13 2019 04:06:27 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.4.0 Chrome/66.0.3359.181 Electron/3.1.7 Safari/537.36 Slack_SSB/3.4.0",71.195.19.50,1,Mon May 13 2019 04:06:27 GMT-0500 (CDT)
Mon May 13 2019 02:01:57 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.4.0 Chrome/66.0.3359.181 Electron/3.1.7 Safari/537.36 Slack_SSB/3.4.0",71.195.19.50,1,Mon May 13 2019 02:01:57 GMT-0500 (CDT)
Sun May 12 2019 22:36:27 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",71.195.19.50,5,Mon May 13 2019 00:54:42 GMT-0500 (CDT)
Sun May 12 2019 20:08:16 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",71.195.19.50,1,Sun May 12 2019 20:08:16 GMT-0500 (CDT)
Sun May 12 2019 19:41:05 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.4.0 Chrome/66.0.3359.181 Electron/3.1.7 Safari/537.36 Slack_SSB/3.4.0",71.195.19.50,3,Sun May 12 2019 23:07:58 GMT-0500 (CDT)
Sun May 12 2019 15:03:17 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.4.0 Chrome/66.0.3359.181 Electron/3.1.7 Safari/537.36 Slack_SSB/3.4.0",71.195.19.50,2,Sun May 12 2019 16:19:54 GMT-0500 (CDT)
Sun May 12 2019 14:10:16 GMT-0500 (CDT),iOS App (iPad),"com.tinyspeck.chatlyio/19.5.1 (iPad; iOS 12.2; Scale/2.00)",71.195.19.50,11,Sun May 12 2019 23:54:56 GMT-0500 (CDT)
Sun May 12 2019 14:00:43 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",24.118.21.68,14,Sun May 12 2019 19:30:42 GMT-0500 (CDT)
Sun May 12 2019 13:09:18 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",71.195.19.50,1,Sun May 12 2019 13:09:18 GMT-0500 (CDT)
Sun May 12 2019 12:57:04 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.4.0 Chrome/66.0.3359.181 Electron/3.1.7 Safari/537.36 Slack_SSB/3.4.0",71.195.19.50,1,Sun May 12 2019 12:57:04 GMT-0500 (CDT)
Sun May 12 2019 12:46:07 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",107.77.207.130,3,Sun May 12 2019 13:53:04 GMT-0500 (CDT)
Sun May 12 2019 10:21:35 GMT-0500 (CDT),Slack Web App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Safari/605.1.15",71.195.19.50,3,Sun May 12 2019 10:21:35 GMT-0500 (CDT)
Sun May 12 2019 10:21:31 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",107.77.207.130,1,Sun May 12 2019 10:21:31 GMT-0500 (CDT)
Sun May 12 2019 08:55:32 GMT-0500 (CDT),iOS App (iPad),"com.tinyspeck.chatlyio/19.5.1 (iPad; iOS 12.2; Scale/2.00)",71.195.19.50,2,Sun May 12 2019 10:05:12 GMT-0500 (CDT)
Sun May 12 2019 08:24:33 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.5.1 (iPhone; iOS 12.2; Scale/3.00)",71.195.19.50,6,Sun May 12 2019 10:32:49 GMT-0500 (CDT)
